Id,SalePrice
1461,130916.39457874064
1462,156309.16905575432
1463,190199.0404449474
1464,200850.08952085336
1465,203278.10514832195
1466,166869.09372252497
1467,173995.28704627836
1468,156036.39763187864
1469,228749.2941820212
1470,113830.99292503942
1471,171314.61542854022
1472,104174.73669095409
1473,99566.5095813301
1474,149635.75053004886
1475,114257.41667786046
1476,344602.7844003015
1477,241874.09747311246
1478,305722.0831076119
1479,311765.9352815559
1480,439356.1190868545
1481,304880.87774025946
1482,200125.18952497453
1483,174871.79972581583
1484,161391.67718788047
1485,174427.10752558432
1486,187432.56970537276
1487,304488.8382223914
1488,228985.93242674714
1489,202877.2786314112
1490,249416.36165229225
1491,199616.01842880706
1492,96223.08949035422
1493,180455.58494943212
1494,241016.19874859255
1495,263205.6865599525
1496,243033.20890547952
1497,179140.40042577774
1498,164055.71757308554
1499,160079.36162388165
1500,155087.8174987499
1501,173427.06311251217
1502,138645.46874063232
1503,295111.4622122192
1504,234153.3486733826
1505,227134.609451767
1506,191372.56468596405
1507,255113.52837332556
1508,202387.62047239934
1509,159890.41738211218
1510,150867.80756410724
1511,140845.09618256896
1512,159913.84643583794
1513,141804.3056582558
1514,141074.74337313333
1515,197099.7612913418
1516,147768.23248497536
1517,189893.0930632522
1518,124643.31451159439
1519,214074.6750468258
1520,131474.80329056113
1521,144749.95013571586
1522,170189.64418421857
1523,119369.68322701244
1524,128916.94971825686
1525,126388.65676194182
1526,107317.88245768135
1527,105045.23974132045
1528,136835.78330684116
1529,168380.0797660271
1530,204037.53967109724
1531,105180.7452211314
1532,87351.33375101966
1533,168759.34496283677
1534,130561.68347799832
1535,148172.8974840457
1536,104363.84274832834
1537,60066.87441542256
1538,147479.5706829258
1539,204566.9052979529
1540,104999.59217461235
1541,153930.26633246962
1542,164943.1007126418
1543,192610.57375513355
1544,81784.21322379523
1545,123348.54211463213
1546,130202.80127463343
1547,133872.35715592315
1548,146881.42252863979
1549,126641.04667190262
1550,136839.44977247436
1551,114621.50639567927
1552,164603.48531136106
1553,151491.6877865394
1554,120300.36249094216
1555,158050.40390346377
1556,32777.75866751479
1557,72863.34425547207
1558,104483.13036077765
1559,66303.06550548486
1560,75929.6832710556
1561,111223.6852369002
1562,126895.97807967296
1563,132597.61047693188
1564,143996.23464698007
1565,145503.50447887654
1566,228189.72252707637
1567,81227.45114266274
1568,208798.37051628518
1569,137640.2328020062
1570,125923.48629100039
1571,128727.75509596453
1572,152489.60963449808
1573,255572.69553835306
1574,117852.49367535865
1575,229886.4534642765
1576,243689.64917005596
1577,179752.41239378034
1578,147436.19263384177
1579,148238.3779012726
1580,183942.7771516679
1581,159490.33439167842
1582,127098.94948513412
1583,272510.21296855283
1584,211568.7707748229
1585,135687.6761955539
1586,58993.69556048575
1587,101062.50975679985
1588,170046.82927291156
1589,76671.43561638011
1590,124863.82681327908
1591,99862.0573695088
1592,99876.86107703237
1593,113362.61740544967
1594,107408.44920828327
1595,112267.47565259358
1596,214363.87200868124
1597,195579.29005371977
1598,216140.69825018823
1599,191288.79031347163
1600,170463.2422389578
1601,49205.57204949665
1602,115996.21121829204
1603,16560.616266710174
1604,283651.09789690987
1605,217047.47557384818
1606,158757.65925292333
1607,165748.0891776757
1608,189832.29949264842
1609,180806.73002650353
1610,142702.02169625417
1611,142669.73892799282
1612,193771.37071807904
1613,169463.4687047128
1614,165234.5606722523
1615,105285.28851389259
1616,76874.71588039037
1617,99301.6431535064
1618,116766.74566120771
1619,140901.18486155395
1620,154372.0512529153
1621,134424.64936898646
1622,140581.8196827055
1623,248523.2331420732
1624,199363.46798507054
1625,141179.52787526106
1626,154620.8550675297
1627,187909.3848026469
